id,node_id,seq,n_samples,round_id,w0,w1,w2,w3,rssi,snr,checksum_ok,received_at
52,1,132,32,0,0.612707,0.312732,0.016179,0.026603,-68,9.5,t,2026-08-27 19:00:39.960443+00
53,2,108,32,0,0.664755,0.031057,0.073314,0.133962,-101,-3.5,t,2026-08-27 19:01:36.168216+00
54,1,136,32,0,0.612708,0.312731,0.016194,0.026615,-67,10,t,2026-08-27 19:01:39.804603+00
55,2,112,32,0,0.663316,0.030752,0.072834,0.133313,-105,-5.75,t,2026-08-27 19:02:36.137612+00
56,1,140,32,0,0.61271,0.312728,0.016201,0.026619,-71,10,t,2026-08-27 19:02:39.820846+00
57,2,116,32,0,0.66273,0.031494,0.073249,0.134287,-102,-5.5,t,2026-08-27 19:03:36.147552+00
58,1,144,32,0,0.61271,0.312725,0.016206,0.026624,-67,9.75,t,2026-08-27 19:03:39.767299+00
59,2,120,32,0,0.661763,0.032085,0.073444,0.134884,-101,-2.25,t,2026-08-27 19:04:36.116308+00
60,1,148,32,0,0.612659,0.312674,0.016154,0.026531,-63,10,t,2026-08-27 19:04:39.835796+00
61,2,124,32,0,0.660298,0.032313,0.0733,0.134596,-98,2.25,t,2026-08-27 19:05:36.113994+00
62,1,152,32,0,0.61265,0.312662,0.016146,0.026508,-63,9.75,t,2026-08-27 19:05:39.757138+00
63,2,128,32,0,0.659147,0.032789,0.073507,0.134969,-101,-5,t,2026-08-27 19:06:36.267175+00
64,1,156,32,0,0.612652,0.312663,0.016154,0.026513,-63,10,t,2026-08-27 19:06:39.875403+00
65,2,132,32,0,0.658023,0.032995,0.07378,0.135455,-97,2.75,t,2026-08-27 19:07:36.108867+00
66,1,160,32,0,0.612653,0.312663,0.016161,0.026518,-63,9.75,t,2026-08-27 19:07:39.863375+00
67,2,136,32,0,0.657225,0.033502,0.074224,0.136375,-99,-0.5,t,2026-08-27 19:08:36.111318+00
68,1,164,32,0,0.612714,0.312724,0.016252,0.026654,-63,10.5,t,2026-08-27 19:08:39.607472+00
69,2,140,32,0,0.655986,0.033538,0.074195,0.136545,-100,-0.5,t,2026-08-27 19:09:36.107631+00
70,1,168,32,0,0.612698,0.312705,0.016257,0.026634,-63,10,t,2026-08-27 19:09:39.605707+00
71,2,144,32,0,0.655297,0.033992,0.074617,0.137514,-100,-0.25,t,2026-08-27 19:10:36.177942+00
72,1,172,32,0,0.612686,0.312687,0.016262,0.026617,-63,10,t,2026-08-27 19:10:39.814602+00
73,2,148,32,0,0.653922,0.033954,0.074556,0.137522,-99,0.25,t,2026-08-27 19:11:36.190483+00
74,1,176,32,0,0.612672,0.312672,0.016268,0.026605,-63,10,t,2026-08-27 19:11:39.833971+00
75,2,152,32,0,0.652772,0.033939,0.07458,0.137715,-99,0,t,2026-08-27 19:12:36.103135+00
76,1,180,32,0,0.612665,0.312665,0.016271,0.026601,-63,10,t,2026-08-27 19:12:39.899643+00
77,2,156,32,0,0.652107,0.034435,0.075,0.138707,-99,0.5,t,2026-08-27 19:13:36.108892+00
78,1,184,32,0,0.612658,0.312655,0.016262,0.026592,-63,9.75,t,2026-08-27 19:13:39.993805+00
79,2,160,32,0,0.651519,0.035071,0.075169,0.139414,-98,1.5,t,2026-08-27 19:14:36.154+00
80,1,188,32,0,0.612649,0.312646,0.016253,0.026585,-63,10,t,2026-08-27 19:14:39.844118+00
81,2,164,32,0,0.650614,0.035394,0.075066,0.139392,-99,1.5,t,2026-08-27 19:15:36.348698+00
82,1,192,32,0,0.612643,0.312638,0.016244,0.026583,-63,10.25,t,2026-08-27 19:15:39.913262+00
83,2,168,32,0,0.649062,0.034962,0.07449,0.138332,-98,1.25,t,2026-08-27 19:16:36.135805+00
84,1,196,32,0,0.612635,0.312632,0.016232,0.02657,-63,10.25,t,2026-08-27 19:16:39.851264+00
85,2,172,32,0,0.648056,0.034218,0.073914,0.137671,-99,1.25,t,2026-08-27 19:17:36.121242+00
86,1,200,32,0,0.612634,0.312629,0.016226,0.026564,-63,10.25,t,2026-08-27 19:17:39.818199+00
87,2,176,32,0,0.647359,0.033947,0.07297,0.136687,-98,1.25,t,2026-08-27 19:18:36.184349+00
88,1,204,32,0,0.612632,0.312627,0.016221,0.026559,-63,10,t,2026-08-27 19:18:39.831873+00
89,2,180,32,0,0.647194,0.034251,0.072391,0.136477,-99,1.5,t,2026-08-27 19:19:36.086573+00
90,1,208,32,0,0.61263,0.312624,0.016217,0.026554,-63,10.25,t,2026-08-27 19:19:40.077559+00
91,2,184,32,0,0.647243,0.034722,0.071772,0.136338,-98,1.25,t,2026-08-27 19:20:36.159572+00
92,1,212,32,0,0.612627,0.312623,0.016213,0.02655,-63,9.5,t,2026-08-27 19:20:39.888305+00
93,2,188,32,0,0.64736,0.03516,0.071214,0.136159,-99,0.75,t,2026-08-27 19:21:36.085181+00
94,1,216,32,0,0.612611,0.312606,0.016187,0.026519,-63,9.5,t,2026-08-27 19:21:40.007771+00
95,2,192,32,0,0.647302,0.035448,0.071461,0.136927,-99,0.75,t,2026-08-27 19:22:36.103222+00
96,1,220,32,0,0.612621,0.312612,0.016207,0.026549,-63,10.5,t,2026-08-27 19:22:39.689926+00
97,2,196,32,0,0.64612,0.035037,0.071699,0.137258,-98,0.75,t,2026-08-27 19:23:36.081153+00
98,1,224,32,0,0.612614,0.312601,0.016205,0.026545,-63,10,t,2026-08-27 19:23:39.81158+00
99,2,200,32,0,0.644531,0.035236,0.071817,0.137308,-98,1,t,2026-08-27 19:24:36.120777+00
100,1,228,32,0,0.612608,0.312591,0.016203,0.026541,-64,9.75,t,2026-08-27 19:24:39.661244+00
101,2,204,32,0,0.643629,0.036171,0.072202,0.138021,-99,0.5,t,2026-08-27 19:25:36.081957+00
102,1,232,32,0,0.612602,0.312579,0.016201,0.026537,-62,10.25,t,2026-08-27 19:25:39.868124+00
103,2,208,32,0,0.642361,0.03646,0.072105,0.137841,-98,1,t,2026-08-27 19:26:36.074607+00
104,1,236,32,0,0.612596,0.31257,0.0162,0.026535,-64,9.25,t,2026-08-27 19:26:39.715533+00
105,2,212,32,0,0.641154,0.036772,0.071967,0.137586,-98,1.25,t,2026-08-27 19:27:36.215795+00
106,1,240,32,0,0.612592,0.312559,0.016199,0.026531,-63,9.75,t,2026-08-27 19:27:39.82961+00
107,2,216,32,0,0.640133,0.037259,0.072196,0.137804,-98,1.25,t,2026-08-27 19:28:36.100923+00
108,1,244,32,0,0.612589,0.312553,0.0162,0.026539,-64,9.75,t,2026-08-27 19:28:39.795774+00
109,2,220,32,0,0.638893,0.03763,0.072285,0.13781,-99,1.25,t,2026-08-27 19:29:36.234813+00
110,1,248,32,0,0.612526,0.312492,0.016127,0.026425,-63,10,t,2026-08-27 19:29:39.670685+00
111,2,224,32,0,0.637642,0.038185,0.07253,0.137994,-98,1.5,t,2026-08-27 19:30:36.161428+00
112,1,252,32,0,0.612573,0.312536,0.016193,0.026536,-63,10,t,2026-08-27 19:30:39.687324+00
113,2,228,32,0,0.636872,0.038643,0.072994,0.138572,-98,1,t,2026-08-27 19:31:36.131129+00
114,1,256,32,0,0.612495,0.312457,0.016103,0.026395,-62,10,t,2026-08-27 19:31:40.056536+00
115,2,232,32,0,0.636183,0.038853,0.07343,0.139048,-99,-0.25,t,2026-08-27 19:32:36.112887+00
116,1,260,32,0,0.612493,0.312452,0.016102,0.026409,-64,10.25,t,2026-08-27 19:32:39.666005+00
117,2,236,32,0,0.635276,0.038991,0.073857,0.139459,-99,1,t,2026-08-27 19:33:36.08038+00
118,1,264,32,0,0.612486,0.312444,0.016101,0.026417,-63,9.75,t,2026-08-27 19:33:40.048328+00
119,2,240,32,0,0.634179,0.039125,0.074185,0.139727,-99,-0.25,t,2026-08-27 19:34:36.062088+00
120,1,268,32,0,0.612479,0.312435,0.016103,0.026424,-63,10,t,2026-08-27 19:34:39.873407+00
121,2,244,32,0,0.632743,0.039163,0.074259,0.139551,-98,1.5,t,2026-08-27 19:35:36.058291+00
122,1,272,32,0,0.612473,0.312425,0.016105,0.026429,-63,10,t,2026-08-27 19:35:39.786733+00
123,2,248,32,0,0.631642,0.040021,0.074735,0.140232,-97,3,t,2026-08-27 19:36:36.057642+00
124,1,276,32,0,0.612463,0.31241,0.016111,0.026429,-68,9.75,t,2026-08-27 19:36:39.934627+00
125,2,252,32,0,0.629834,0.040287,0.074689,0.139937,-97,1.25,t,2026-08-27 19:37:36.054393+00
126,1,280,32,0,0.612473,0.312416,0.016142,0.026469,-61,9.25,t,2026-08-27 19:37:39.797111+00
127,2,256,32,0,0.628372,0.040848,0.075,0.140292,-96,1.5,t,2026-08-27 19:38:36.072874+00
128,1,284,32,0,0.612442,0.312387,0.016131,0.026432,-61,9.75,t,2026-08-27 19:38:40.007969+00
129,2,260,32,0,0.627457,0.041889,0.075853,0.141623,-96,3,t,2026-08-27 19:39:36.066381+00
130,1,288,32,0,0.612435,0.312386,0.016142,0.026441,-61,10.25,t,2026-08-27 19:39:39.758592+00
131,2,264,32,0,0.626858,0.043028,0.076628,0.142788,-98,1.25,t,2026-08-27 19:40:36.049632+00
132,1,292,32,0,0.612423,0.31238,0.016149,0.026442,-62,9.5,t,2026-08-27 19:40:39.816184+00
133,2,268,32,0,0.626032,0.043908,0.076839,0.142898,-98,0.5,t,2026-08-27 19:41:36.045693+00
134,1,296,32,0,0.612411,0.312376,0.016157,0.026445,-66,9.75,t,2026-08-27 19:41:39.585635+00
135,2,272,32,0,0.626016,0.045732,0.077492,0.143804,-96,3.5,t,2026-08-27 19:42:36.044844+00
136,1,300,32,0,0.61245,0.312422,0.01623,0.026553,-64,9.25,t,2026-08-27 19:42:39.670364+00
137,2,276,32,0,0.624237,0.045425,0.07672,0.142399,-97,2.25,t,2026-08-27 19:43:36.041168+00
138,1,304,32,0,0.612443,0.312427,0.016253,0.026573,-64,9.75,t,2026-08-27 19:43:39.596181+00
139,2,280,32,0,0.623903,0.045951,0.077355,0.143515,-97,2.25,t,2026-08-27 19:44:36.042144+00
140,1,308,32,0,0.612427,0.312421,0.016256,0.026566,-64,9.5,t,2026-08-27 19:44:39.597356+00
141,2,284,32,0,0.623043,0.045751,0.077389,0.143704,-96,2.75,t,2026-08-27 19:45:36.040425+00
142,1,312,32,0,0.61241,0.312416,0.016256,0.026559,-62,9.75,t,2026-08-27 19:45:39.625614+00
143,2,288,32,0,0.622436,0.045719,0.077828,0.144889,-95,4.25,t,2026-08-27 19:46:36.192509+00
144,1,316,32,0,0.612395,0.312412,0.016256,0.026552,-62,10.25,t,2026-08-27 19:46:41.667166+00
145,2,292,32,0,0.621757,0.04557,0.078113,0.145803,-97,2.25,t,2026-08-27 19:47:36.035461+00
146,1,320,32,0,0.612444,0.312467,0.016324,0.026664,-62,9.75,t,2026-08-27 19:47:39.624795+00
147,2,296,32,0,0.620852,0.045148,0.078242,0.146426,-95,3.5,t,2026-08-27 19:48:36.033191+00
