id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,received_at
5999,1,907,25.6,82.2,-95,4.5,13620,t,2026-09-05 18:03:06.264465+00
6000,2,1420,30.8,69,-61,9.25,21315,t,2026-09-05 18:03:13.897154+00
6001,1,908,25.8,82.1,-95,5,13635,t,2026-09-05 18:03:21.518667+00
6002,2,1421,30.8,69,-60,9.25,21330,t,2026-09-05 18:03:28.896507+00
6003,1,909,25.8,82.1,-94,5.25,13650,t,2026-09-05 18:03:36.09864+00
6004,2,1422,30.8,69,-60,9,21345,t,2026-09-05 18:03:43.95015+00
6005,1,910,25.8,82.1,-94,4.75,13665,t,2026-09-05 18:03:51.100659+00
6006,2,1423,30.8,69,-60,9.5,21360,t,2026-09-05 18:03:59.206475+00
6007,1,911,25.8,82.1,-94,4.75,13680,t,2026-09-05 18:04:06.099984+00
6008,2,1424,30.9,69,-60,9.5,21375,t,2026-09-05 18:04:14.151908+00
6009,1,912,25.8,82.1,-95,4.75,13695,t,2026-09-05 18:04:21.09873+00
6010,2,1425,30,69,-60,9.75,21390,t,2026-09-05 18:04:28.892404+00
6011,1,913,25.8,82.1,-94,5,13710,t,2026-09-05 18:04:36.097513+00
6012,2,1426,30.6,69,-61,10,21405,t,2026-09-05 18:04:43.892654+00
6013,2,1427,30.5,69,-60,9.5,21420,t,2026-09-05 18:04:59.108204+00
6014,1,915,25.8,82.1,-95,5,13740,t,2026-09-05 18:05:06.098368+00
6015,2,1428,30.3,69,-61,9.25,21435,t,2026-09-05 18:05:13.962052+00
6016,1,916,25.8,82,-95,4.5,13755,t,2026-09-05 18:05:21.269278+00
6017,2,1429,30.3,69,-60,9,21450,t,2026-09-05 18:05:28.909949+00
6018,1,917,25.8,82,-94,5,13770,t,2026-09-05 18:05:36.096338+00
6019,2,1430,30.3,69,-60,9.25,21465,t,2026-09-05 18:05:43.891964+00
6020,1,918,25.8,82,-95,4.75,13785,t,2026-09-05 18:05:51.228209+00
6021,2,1431,30.3,69,-60,8.75,21480,t,2026-09-05 18:05:58.912511+00
6022,1,919,25.8,82,-94,4.5,13800,t,2026-09-05 18:06:06.28416+00
6023,2,1432,30.3,69,-63,9.5,21495,t,2026-09-05 18:06:14.170066+00
6024,1,920,25.8,82,-95,5,13815,t,2026-09-05 18:06:21.128133+00
6025,2,1433,30.3,69,-62,9.5,21510,t,2026-09-05 18:06:28.888804+00
6026,1,921,25.8,82,-95,5.25,13830,t,2026-09-05 18:06:36.097142+00
6027,2,1434,30.4,69,-64,9.25,21525,t,2026-09-05 18:06:43.888148+00
6028,1,922,25.8,82,-95,5,13845,t,2026-09-05 18:06:51.095569+00
6029,2,1435,30.4,69,-67,9.25,21540,t,2026-09-05 18:06:58.889913+00
6030,1,923,25.8,82,-95,5,13860,t,2026-09-05 18:07:06.193719+00
6031,2,1436,30.4,69,-67,8.5,21555,t,2026-09-05 18:07:16.633688+00
6032,1,924,25.8,82,-94,5,13875,t,2026-09-05 18:07:21.093928+00
6033,2,1437,30.4,69,-67,8.5,21570,t,2026-09-05 18:07:28.887223+00
6034,1,925,25.9,82,-94,5,13890,t,2026-09-05 18:07:36.290591+00
