id,node_id,seq,temperature,humidity,rssi,snr,uptime_s,checksum_ok,error,received_at
4279,2,462,30.7,70,-46,9.75,6945,t,,2026-09-05 14:03:44.269685+00
4280,2,464,30.6,70,-45,9.5,6975,t,,2026-09-05 14:04:14.308028+00
4281,2,465,30.8,71,-46,9.5,6990,t,,2026-09-05 14:04:29.308758+00
4282,2,466,30.3,71,-46,10,7005,t,,2026-09-05 14:04:44.344699+00
4283,2,467,30.5,71,-45,10.25,7020,t,,2026-09-05 14:04:59.802664+00
4284,2,468,30.6,71,-45,10,7035,t,,2026-09-05 14:05:14.307577+00
4285,2,469,30.5,71,-46,9.25,7050,t,,2026-09-05 14:05:29.336041+00
4286,2,470,30.6,71,-45,9.75,7065,t,,2026-09-05 14:05:44.307554+00
4287,2,471,30.5,71,-45,9.75,7080,t,,2026-09-05 14:05:59.306191+00
4288,2,472,30.3,71,-46,9,7095,t,,2026-09-05 14:06:14.698355+00
4289,2,473,30.8,71,-46,9.25,7110,t,,2026-09-05 14:06:29.305247+00
4290,2,474,30,71,-46,9.75,7125,t,,2026-09-05 14:06:44.305285+00
4291,2,475,30.1,71,-46,9.5,7140,t,,2026-09-05 14:06:59.34574+00
4292,2,476,30.4,71,-46,9.5,7155,t,,2026-09-05 14:07:14.398591+00
4293,2,477,30.8,71,-46,9.25,7170,t,,2026-09-05 14:07:29.349048+00
4294,2,478,30.9,71,-46,9.75,7185,t,,2026-09-05 14:07:44.302808+00
4295,2,479,30.9,71,-46,10.75,7200,t,,2026-09-05 14:07:59.428327+00
4296,2,480,30.7,71,-47,12.5,7215,t,,2026-09-05 14:08:14.30069+00
4297,2,482,30.9,70,-46,9.75,7245,t,,2026-09-05 14:08:44.300016+00
4298,2,483,30,70,-47,9.5,7260,t,,2026-09-05 14:08:59.626277+00
4299,2,484,30.7,70,-46,10.25,7275,t,,2026-09-05 14:09:14.544666+00
4300,2,485,30.8,70,-47,9.75,7290,t,,2026-09-05 14:09:29.298835+00
4301,2,486,30.9,71,-47,9.75,7305,t,,2026-09-05 14:09:44.297591+00
4302,2,487,30.7,71,-46,9.25,7320,t,,2026-09-05 14:09:59.306061+00
4303,2,488,30.6,71,-46,9.25,7335,t,,2026-09-05 14:10:14.383349+00
4304,2,489,30.3,71,-46,9.25,7350,t,,2026-09-05 14:10:29.29805+00
4305,2,490,30.5,71,-47,9.5,7365,t,,2026-09-05 14:10:44.423016+00
4306,2,491,30,71,-47,9.75,7380,t,,2026-09-05 14:10:59.298661+00
4307,2,492,30.6,71,-46,10.25,7395,t,,2026-09-05 14:11:14.296319+00
